CustomerID,Country,balance,max_spent,mean_spent,min_spent,n_orders,time_between_orders,total_items,total_items_returned,total_refunded,total_spent,late_delivery
12346,United Kingdom,0,77183.6,38591.8,0,2,,74215,-74215,-77183.6,77183.6,1
12348,Finland,3874.6,2248.8,1291.533333,478.8,3,54.5,6876,0,0,3874.6,1
12350,Norway,294.4,294.4,294.4,294.4,1,,196,0,0,294.4,0
12352,Norway,1845.13,1054.1,393.092,0,5,11.33333333,774,-63,-120.33,1965.46,0
12354,Spain,1079.4,1079.4,1079.4,1079.4,1,,530,0,0,1079.4,0
12356,Portugal,6621.63,5011.34,3310.815,1610.29,2,80,4455,0,0,6621.63,1
12358,Austria,404.86,404.86,404.86,404.86,1,,98,0,0,404.86,1
12360,Austria,4359.34,2984.6,2179.67,1374.74,2,88,2116,0,0,4359.34,0
12361,Belgium,174.9,174.9,174.9,174.9,1,,90,0,0,174.9,0
12362,Belgium,4700.73,1437,787.255,0,6,58,2929,-10,-22.8,4723.53,1
12364,Belgium,1840.52,1840.52,1840.52,1840.52,1,,1656,0,0,1840.52,0
12373,Austria,324.6,324.6,324.6,324.6,1,,196,0,0,324.6,1
12377,Switzerland,1548.12,1001.52,774.06,546.6,2,39,942,0,0,1548.12,1
12378,Switzerland,4008.62,4008.62,4008.62,4008.62,1,,2529,0,0,4008.62,1
12379,Belgium,1117.63,1119.58,559.79,0,2,,610,-1,-1.95,1119.58,0
12380,Belgium,1632.25,1632.25,1632.25,1632.25,1,,798,0,0,1632.25,0
12381,Norway,3033.67,3033.67,3033.67,3033.67,1,,1790,0,0,3033.67,1
12383,Belgium,1617.31,591.16,271.4266667,0,6,41.25,1518,-3,-11.25,1628.56,1
12384,Switzerland,668.81,668.81,668.81,668.81,1,,186,0,0,668.81,0
12395,Belgium,5190.96,963.7,520.876,0,10,36.42857143,5000,-4,-17.8,5208.76,0
12397,Belgium,3143.77,3143.77,3143.77,3143.77,1,,2159,0,0,3143.77,0
12399,Belgium,1033.65,450.9,258.4125,115.08,4,47.33333333,1173,0,0,1033.65,1
12401,Belgium,69.3,69.3,69.3,69.3,1,,10,0,0,69.3,0
12402,Belgium,195.6,195.6,195.6,195.6,1,,92,0,0,195.6,0
12405,Finland,1390.39,1390.39,1390.39,1390.39,1,,849,0,0,1390.39,1
12407,Belgium,4142,2011.91,1035.5,471.42,4,42.66666667,3800,0,0,4142,1
12408,Belgium,3913.05,1988.04,657.3383333,0,6,42,2067,-9,-30.98,3944.03,1
12409,Switzerland,18957.51,18962.46,9481.23,0,2,,10510,-1,-4.95,18962.46,0
12410,Switzerland,521.08,465.33,177.7766667,0,3,0,207,-2,-12.25,533.33,0
12413,France,1471.1,1329.05,493.6833333,0,3,100,537,-1,-9.95,1481.05,0
12414,Austria,442.41,202.8,147.47,113.76,3,46,297,0,0,442.41,0
12418,Switzerland,668.58,668.58,668.58,668.58,1,,407,0,0,668.58,1
12421,Spain,1521.76,617.35,507.2533333,294.93,3,101.5,1322,0,0,1521.76,1
12423,Belgium,3677.88,866.3,612.98,388.64,6,31.8,2806,0,0,3677.88,0
